Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1372,Alpha Innovations,Display,Women 25-34,60 days,Email,0.04,"$17,133.00",2.16,New York,French,936,5644,7,Outdoor Adventurers,2021-10-04
1373,TechCorp,Display,All Ages,30 days,Instagram,0.08,"$10,896.00",6.67,Los Angeles,Spanish,799,7233,4,Health & Wellness,2021-10-05
1374,Alpha Innovations,Display,Women 35-44,60 days,Google Ads,0.03,"$17,088.00",7.09,Houston,French,241,9598,7,Tech Enthusiasts,2021-10-06
1375,NexGen Systems,Display,Men 25-34,30 days,Website,0.12,"$10,683.00",2.37,New York,English,150,2376,2,Outdoor Adventurers,2021-10-07
1376,TechCorp,Email,Women 25-34,30 days,Email,0.14,"$13,654.00",4.82,Miami,German,614,3705,4,Foodies,2021-10-08
1377,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,"$17,232.00",3.27,New York,Mandarin,640,4872,9,Tech Enthusiasts,2021-10-09
1378,DataTech Solutions,Social Media,Women 35-44,60 days,Instagram,0.03,"$17,598.00",2.5,New York,Spanish,674,4116,3,Foodies,2021-10-10
1379,NexGen Systems,Email,Men 25-34,15 days,Facebook,0.01,"$18,795.00",2.43,Houston,English,949,7338,4,Tech Enthusiasts,2021-10-11
1380,DataTech Solutions,Email,Women 25-34,30 days,Website,0.04,"$10,826.00",3.37,Houston,French,855,5149,9,Outdoor Adventurers,2021-10-12
1381,Alpha Innovations,Display,Women 25-34,45 days,Instagram,0.04,"$5,615.00",2.0,New York,English,359,3159,10,Tech Enthusiasts,2021-10-13
1382,Innovate Industries,Search,Women 35-44,15 days,Instagram,0.11,"$16,604.00",5.39,Los Angeles,English,895,8738,3,Outdoor Adventurers,2021-10-14
1383,TechCorp,Search,Men 18-24,30 days,Website,0.03,"$15,809.00",5.7,Los Angeles,German,478,8731,10,Foodies,2021-10-15
1384,NexGen Systems,Search,Women 35-44,45 days,Email,0.06,"$6,171.00",2.68,New York,Mandarin,322,9977,8,Health & Wellness,2021-10-16
1385,TechCorp,Search,Men 18-24,30 days,Email,0.08,"$18,563.00",4.88,Houston,Spanish,153,9046,9,Health & Wellness,2021-10-17
1386,Alpha Innovations,Influencer,All Ages,30 days,Email,0.06,"$9,613.00",3.61,New York,French,999,5612,8,Foodies,2021-10-18
1387,DataTech Solutions,Influencer,Women 35-44,60 days,Google Ads,0.06,"$15,992.00",6.24,Houston,German,108,5590,5,Fashionistas,2021-10-19
1388,Alpha Innovations,Influencer,All Ages,15 days,Email,0.12,"$11,824.00",2.54,Miami,Spanish,515,4375,7,Tech Enthusiasts,2021-10-20
1389,Innovate Industries,Search,All Ages,30 days,Email,0.09,"$17,415.00",4.31,Houston,French,440,4515,2,Outdoor Adventurers,2021-10-21
1390,DataTech Solutions,Email,Women 35-44,30 days,Google Ads,0.12,"$12,019.00",6.34,Los Angeles,Spanish,638,6482,2,Foodies,2021-10-22
1391,Alpha Innovations,Search,All Ages,60 days,Google Ads,0.04,"$7,612.00",4.86,New York,English,332,5567,2,Fashionistas,2021-10-23
1392,Alpha Innovations,Influencer,Women 25-34,45 days,Website,0.07,"$10,094.00",4.49,Houston,Spanish,680,9806,6,Foodies,2021-10-24
1393,TechCorp,Influencer,Women 35-44,45 days,YouTube,0.04,"$19,546.00",2.71,Los Angeles,German,838,7910,3,Foodies,2021-10-25
1394,Alpha Innovations,Social Media,Women 25-34,45 days,YouTube,0.11,"$14,465.00",7.16,Chicago,French,556,2045,8,Foodies,2021-10-26
1395,Innovate Industries,Search,Men 18-24,60 days,Email,0.07,"$6,464.00",7.26,Houston,English,170,1129,4,Fashionistas,2021-10-27
1396,NexGen Systems,Social Media,Men 18-24,60 days,Instagram,0.13,"$14,567.00",4.12,Chicago,Mandarin,822,4933,3,Health & Wellness,2021-10-28
1397,Innovate Industries,Display,Men 25-34,45 days,YouTube,0.09,"$10,954.00",4.87,Chicago,Mandarin,990,8909,8,Foodies,2021-10-29
1398,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.08,"$6,003.00",7.36,Houston,Spanish,726,8605,9,Tech Enthusiasts,2021-10-30
1399,NexGen Systems,Search,All Ages,60 days,Google Ads,0.04,"$10,336.00",2.98,Houston,German,561,3756,5,Fashionistas,2021-10-31
1400,TechCorp,Search,Men 25-34,60 days,Facebook,0.11,"$11,471.00",7.97,Houston,Spanish,990,3294,4,Outdoor Adventurers,2021-11-01
1401,Alpha Innovations,Search,Women 35-44,45 days,YouTube,0.1,"$16,800.00",6.76,Los Angeles,Spanish,629,6501,4,Foodies,2021-11-02
1402,DataTech Solutions,Social Media,Men 25-34,60 days,YouTube,0.04,"$7,487.00",4.02,Houston,Mandarin,233,9875,10,Fashionistas,2021-11-03
1403,NexGen Systems,Search,Women 35-44,60 days,Google Ads,0.12,"$15,710.00",7.32,Chicago,English,381,4714,9,Outdoor Adventurers,2021-11-04
1404,Alpha Innovations,Display,Men 18-24,45 days,Email,0.01,"$14,924.00",4.62,Houston,French,819,9709,9,Foodies,2021-11-05
1405,TechCorp,Social Media,All Ages,30 days,Instagram,0.02,"$10,609.00",7.82,Houston,German,706,9926,3,Outdoor Adventurers,2021-11-06
1406,TechCorp,Influencer,Women 35-44,30 days,Instagram,0.08,"$14,939.00",6.05,New York,Mandarin,138,5878,7,Outdoor Adventurers,2021-11-07
1407,TechCorp,Influencer,Women 25-34,45 days,Facebook,0.09,"$5,793.00",6.11,New York,English,726,3946,9,Tech Enthusiasts,2021-11-08
1408,Alpha Innovations,Social Media,Women 25-34,60 days,YouTube,0.1,"$8,037.00",4.03,Los Angeles,English,676,1157,10,Health & Wellness,2021-11-09
1409,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.13,"$15,512.00",5.49,Miami,Mandarin,352,7412,1,Fashionistas,2021-11-10
1410,DataTech Solutions,Email,Men 25-34,60 days,YouTube,0.15,"$17,266.00",7.55,New York,Mandarin,977,9567,4,Fashionistas,2021-11-11
1411,TechCorp,Display,Women 35-44,30 days,Facebook,0.13,"$9,700.00",6.61,Miami,Spanish,294,3352,6,Foodies,2021-11-12
1412,TechCorp,Display,Men 25-34,15 days,Email,0.03,"$10,387.00",6.77,Los Angeles,Spanish,722,6216,9,Outdoor Adventurers,2021-11-13
1413,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.13,"$8,201.00",4.66,New York,German,250,5862,5,Foodies,2021-11-14
1414,Alpha Innovations,Email,Women 35-44,45 days,Email,0.03,"$8,674.00",5.85,Chicago,English,731,4675,9,Tech Enthusiasts,2021-11-15
1415,Innovate Industries,Social Media,Men 18-24,45 days,Website,0.12,"$18,358.00",4.29,Chicago,German,221,5357,4,Fashionistas,2021-11-16
1416,Alpha Innovations,Display,All Ages,15 days,Email,0.12,"$7,188.00",4.16,Chicago,English,182,4644,3,Foodies,2021-11-17
1417,DataTech Solutions,Search,Women 25-34,30 days,Facebook,0.04,"$10,426.00",7.48,Houston,German,428,4413,10,Tech Enthusiasts,2021-11-18
1418,NexGen Systems,Email,Women 35-44,30 days,Email,0.05,"$14,363.00",6.68,New York,German,797,4606,10,Outdoor Adventurers,2021-11-19
1419,Alpha Innovations,Search,Women 35-44,60 days,Website,0.01,"$11,244.00",3.72,New York,German,691,5877,1,Tech Enthusiasts,2021-11-20
1420,TechCorp,Influencer,All Ages,30 days,Google Ads,0.07,"$11,182.00",4.41,Los Angeles,Spanish,959,1218,7,Outdoor Adventurers,2021-11-21
1421,Innovate Industries,Display,Men 25-34,30 days,Facebook,0.05,"$10,740.00",5.16,New York,English,594,1206,3,Fashionistas,2021-11-22
1422,Alpha Innovations,Display,Women 25-34,30 days,Website,0.01,"$5,597.00",3.83,Miami,Mandarin,672,6608,4,Tech Enthusiasts,2021-11-23
1423,NexGen Systems,Email,Women 35-44,60 days,Website,0.02,"$15,088.00",4.9,Chicago,English,248,9279,1,Tech Enthusiasts,2021-11-24
1424,DataTech Solutions,Social Media,Women 25-34,60 days,Instagram,0.06,"$8,336.00",3.4,Miami,English,426,3081,1,Tech Enthusiasts,2021-11-25
1425,NexGen Systems,Search,Men 25-34,15 days,Email,0.14,"$13,825.00",2.55,Miami,Mandarin,783,8810,5,Fashionistas,2021-11-26
1426,DataTech Solutions,Social Media,Men 18-24,60 days,Facebook,0.04,"$9,370.00",6.5,New York,German,116,8835,6,Tech Enthusiasts,2021-11-27
1427,NexGen Systems,Display,Women 25-34,30 days,Email,0.13,"$19,027.00",7.02,Los Angeles,Mandarin,347,5440,2,Tech Enthusiasts,2021-11-28
1428,Innovate Industries,Email,Men 18-24,45 days,YouTube,0.13,"$7,363.00",5.3,Chicago,English,314,5134,6,Outdoor Adventurers,2021-11-29
1429,NexGen Systems,Email,Men 18-24,60 days,YouTube,0.06,"$13,275.00",7.95,Chicago,Spanish,193,8429,7,Foodies,2021-11-30
1430,TechCorp,Display,Men 18-24,30 days,Website,0.08,"$12,364.00",6.17,Los Angeles,Spanish,628,3512,10,Fashionistas,2021-12-01
1431,TechCorp,Social Media,Men 25-34,15 days,Email,0.1,"$17,078.00",4.26,Chicago,French,156,5376,8,Foodies,2021-12-02
1432,DataTech Solutions,Search,All Ages,60 days,Instagram,0.04,"$7,839.00",4.18,Miami,Mandarin,637,7973,5,Health & Wellness,2021-12-03
1433,TechCorp,Search,Men 25-34,60 days,YouTube,0.11,"$9,959.00",6.33,Chicago,German,514,2561,6,Foodies,2021-12-04
1434,TechCorp,Influencer,Women 35-44,60 days,Email,0.06,"$6,595.00",4.72,New York,French,637,1106,5,Outdoor Adventurers,2021-12-05
1435,NexGen Systems,Social Media,Men 18-24,45 days,YouTube,0.11,"$13,531.00",2.58,New York,English,615,5131,7,Foodies,2021-12-06
1436,NexGen Systems,Influencer,All Ages,15 days,Facebook,0.06,"$19,057.00",7.48,New York,English,115,1861,8,Foodies,2021-12-07
1437,TechCorp,Search,All Ages,15 days,YouTube,0.14,"$12,633.00",2.11,Houston,Mandarin,533,4332,5,Fashionistas,2021-12-08
1438,NexGen Systems,Email,Men 18-24,30 days,Facebook,0.1,"$6,163.00",7.96,Los Angeles,English,432,9291,8,Fashionistas,2021-12-09
1439,TechCorp,Social Media,Women 35-44,15 days,Website,0.1,"$8,749.00",7.53,Los Angeles,Spanish,356,5948,9,Health & Wellness,2021-12-10
1440,Innovate Industries,Search,Women 35-44,45 days,Instagram,0.02,"$6,786.00",7.81,New York,German,799,3481,8,Outdoor Adventurers,2021-12-11
1441,TechCorp,Email,Women 25-34,60 days,YouTube,0.09,"$17,055.00",5.58,Miami,French,255,2479,2,Tech Enthusiasts,2021-12-12
1442,Alpha Innovations,Influencer,Women 25-34,30 days,Google Ads,0.09,"$15,834.00",6.37,New York,Mandarin,706,7573,7,Tech Enthusiasts,2021-12-13
1443,NexGen Systems,Influencer,All Ages,30 days,Google Ads,0.03,"$10,993.00",2.8,Chicago,French,999,5600,3,Health & Wellness,2021-12-14
1444,NexGen Systems,Influencer,Men 18-24,60 days,Email,0.01,"$6,960.00",5.66,Houston,German,587,3895,8,Tech Enthusiasts,2021-12-15
1445,Innovate Industries,Email,Women 25-34,60 days,Email,0.04,"$13,319.00",5.14,New York,French,565,5694,10,Health & Wellness,2021-12-16
1446,Innovate Industries,Search,Men 18-24,60 days,Instagram,0.11,"$5,970.00",3.75,New York,Mandarin,440,3088,8,Fashionistas,2021-12-17
1447,NexGen Systems,Search,Women 25-34,45 days,Email,0.06,"$13,419.00",4.25,Miami,Spanish,405,8967,2,Foodies,2021-12-18
1448,TechCorp,Search,All Ages,15 days,Instagram,0.04,"$14,075.00",5.11,New York,English,268,4817,2,Health & Wellness,2021-12-19
1449,Alpha Innovations,Display,Women 35-44,45 days,Facebook,0.09,"$13,506.00",3.83,New York,Mandarin,515,8550,7,Health & Wellness,2021-12-20
1450,Innovate Industries,Social Media,Men 18-24,60 days,Email,0.06,"$6,134.00",7.21,Los Angeles,Mandarin,847,9467,1,Tech Enthusiasts,2021-12-21
1451,DataTech Solutions,Email,Men 25-34,30 days,Instagram,0.06,"$10,084.00",4.55,Los Angeles,Mandarin,341,6547,9,Tech Enthusiasts,2021-12-22
1452,Innovate Industries,Search,Women 35-44,45 days,Google Ads,0.11,"$18,988.00",6.12,Chicago,Mandarin,474,9227,5,Fashionistas,2021-12-23
1453,Innovate Industries,Display,Men 25-34,60 days,Facebook,0.1,"$8,660.00",4.72,Houston,English,724,3369,7,Tech Enthusiasts,2021-12-24
1454,TechCorp,Influencer,Women 25-34,45 days,Instagram,0.06,"$18,198.00",5.06,Chicago,Mandarin,339,5883,6,Foodies,2021-12-25
1455,TechCorp,Search,Men 25-34,45 days,Instagram,0.04,"$13,019.00",3.49,Houston,French,393,7888,8,Outdoor Adventurers,2021-12-26
1456,DataTech Solutions,Search,Women 35-44,45 days,Website,0.04,"$17,550.00",5.81,Miami,Spanish,851,4987,10,Health & Wellness,2021-12-27
1457,TechCorp,Social Media,Women 35-44,30 days,YouTube,0.04,"$8,990.00",5.96,New York,Mandarin,785,8949,2,Tech Enthusiasts,2021-12-28
1458,DataTech Solutions,Display,Women 35-44,60 days,Instagram,0.12,"$15,289.00",6.04,Miami,English,715,5090,1,Tech Enthusiasts,2021-12-29
1459,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,"$6,665.00",4.79,Los Angeles,German,959,8106,1,Tech Enthusiasts,2021-12-30
1460,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.07,"$15,440.00",2.15,Houston,Spanish,813,2656,4,Tech Enthusiasts,2021-12-31
1461,TechCorp,Email,Men 18-24,30 days,Email,0.1,"$7,738.00",7.42,Miami,Mandarin,999,5489,7,Foodies,2021-01-01
1462,Alpha Innovations,Search,Men 25-34,30 days,Google Ads,0.05,"$11,694.00",6.99,New York,French,970,5949,2,Fashionistas,2021-01-02
1463,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.06,"$17,393.00",3.26,Los Angeles,German,895,2934,8,Health & Wellness,2021-01-03
1464,DataTech Solutions,Influencer,Men 25-34,30 days,Facebook,0.09,"$12,014.00",4.16,Chicago,Spanish,477,2055,9,Foodies,2021-01-04
1465,DataTech Solutions,Social Media,Women 35-44,60 days,Email,0.11,"$9,317.00",4.19,Houston,German,331,1453,9,Outdoor Adventurers,2021-01-05
1466,NexGen Systems,Social Media,Women 35-44,60 days,Email,0.05,"$18,736.00",3.64,Miami,German,339,4614,10,Fashionistas,2021-01-06
1467,DataTech Solutions,Influencer,Men 18-24,45 days,Email,0.11,"$7,773.00",5.97,New York,German,146,3573,9,Tech Enthusiasts,2021-01-07
1468,TechCorp,Email,All Ages,15 days,Facebook,0.02,"$7,595.00",4.68,Miami,Mandarin,597,6535,4,Health & Wellness,2021-01-08
1469,Alpha Innovations,Display,Men 18-24,30 days,Email,0.12,"$10,631.00",4.76,Chicago,Spanish,198,5859,7,Foodies,2021-01-09
1470,TechCorp,Display,Men 25-34,30 days,Instagram,0.05,"$5,498.00",4.91,New York,Mandarin,352,1852,5,Health & Wellness,2021-01-10
1471,Alpha Innovations,Influencer,Women 35-44,30 days,Website,0.05,"$16,401.00",4.56,Houston,German,676,9040,5,Health & Wellness,2021-01-11
1472,Innovate Industries,Influencer,Women 25-34,30 days,Email,0.07,"$13,019.00",2.96,Los Angeles,Mandarin,211,2928,10,Outdoor Adventurers,2021-01-12
1473,Innovate Industries,Social Media,Women 25-34,60 days,Email,0.01,"$7,215.00",7.32,Miami,English,616,9826,1,Tech Enthusiasts,2021-01-13
1474,DataTech Solutions,Email,Women 25-34,60 days,YouTube,0.1,"$13,603.00",4.13,Los Angeles,German,346,9327,1,Health & Wellness,2021-01-14
1475,Innovate Industries,Display,Men 18-24,45 days,Instagram,0.09,"$18,249.00",3.19,New York,German,104,6969,4,Outdoor Adventurers,2021-01-15
1476,DataTech Solutions,Social Media,All Ages,60 days,Email,0.14,"$11,648.00",3.41,Los Angeles,English,696,3025,9,Outdoor Adventurers,2021-01-16
1477,NexGen Systems,Influencer,All Ages,30 days,Email,0.05,"$6,410.00",2.77,Houston,German,301,4085,1,Tech Enthusiasts,2021-01-17
1478,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.05,"$14,476.00",7.18,New York,French,904,1003,3,Health & Wellness,2021-01-18
1479,NexGen Systems,Social Media,Women 35-44,30 days,Website,0.14,"$19,597.00",5.37,Los Angeles,German,163,3150,3,Foodies,2021-01-19
1480,Innovate Industries,Email,Men 18-24,60 days,Facebook,0.14,"$7,795.00",6.39,New York,Spanish,323,4262,6,Outdoor Adventurers,2021-01-20
1481,Innovate Industries,Display,Men 18-24,45 days,Email,0.12,"$19,921.00",4.07,Los Angeles,Spanish,884,2980,7,Tech Enthusiasts,2021-01-21
1482,NexGen Systems,Display,Women 25-34,30 days,Facebook,0.02,"$16,232.00",4.31,Chicago,English,810,8579,4,Fashionistas,2021-01-22
1483,NexGen Systems,Display,All Ages,60 days,Email,0.01,"$8,691.00",2.74,New York,German,193,5942,3,Tech Enthusiasts,2021-01-23
1484,NexGen Systems,Email,Women 25-34,30 days,YouTube,0.15,"$13,628.00",3.39,Houston,German,759,2217,3,Fashionistas,2021-01-24
1485,Alpha Innovations,Display,Women 35-44,60 days,Google Ads,0.04,"$13,808.00",4.85,Chicago,French,981,5515,2,Foodies,2021-01-25
1486,Innovate Industries,Display,Women 25-34,45 days,Instagram,0.02,"$17,342.00",4.48,Los Angeles,English,866,5734,9,Tech Enthusiasts,2021-01-26
1487,TechCorp,Email,Women 25-34,30 days,Website,0.15,"$16,696.00",6.62,Chicago,French,565,7191,9,Tech Enthusiasts,2021-01-27
1488,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,0.12,"$12,023.00",6.69,New York,Mandarin,930,5020,5,Fashionistas,2021-01-28
1489,TechCorp,Email,Women 35-44,45 days,Website,0.08,"$15,553.00",4.06,New York,German,295,3096,10,Fashionistas,2021-01-29
1490,NexGen Systems,Display,Women 35-44,15 days,Instagram,0.02,"$5,818.00",2.78,Los Angeles,Mandarin,380,2732,1,Outdoor Adventurers,2021-01-30
1491,DataTech Solutions,Social Media,Women 35-44,45 days,Email,0.09,"$5,581.00",4.44,Los Angeles,French,497,9679,2,Outdoor Adventurers,2021-01-31
1492,DataTech Solutions,Social Media,Women 25-34,60 days,Instagram,0.02,"$19,613.00",2.08,Chicago,English,832,5899,1,Health & Wellness,2021-02-01
1493,TechCorp,Email,Women 35-44,30 days,Facebook,0.14,"$10,353.00",5.55,Los Angeles,Mandarin,912,2116,9,Tech Enthusiasts,2021-02-02
1494,TechCorp,Email,Women 25-34,45 days,YouTube,0.11,"$16,905.00",5.45,New York,German,180,7965,10,Health & Wellness,2021-02-03
1495,Innovate Industries,Influencer,Men 18-24,30 days,Instagram,0.1,"$8,326.00",7.67,Houston,Spanish,767,3631,2,Health & Wellness,2021-02-04
1496,TechCorp,Display,All Ages,60 days,Google Ads,0.09,"$18,771.00",4.26,New York,French,701,6715,9,Fashionistas,2021-02-05
1497,TechCorp,Display,Women 25-34,30 days,Instagram,0.12,"$5,591.00",4.98,Los Angeles,French,761,9484,3,Health & Wellness,2021-02-06
1498,NexGen Systems,Influencer,All Ages,30 days,Google Ads,0.12,"$13,324.00",2.73,Chicago,English,898,6975,2,Fashionistas,2021-02-07
1499,Alpha Innovations,Influencer,Men 18-24,60 days,Email,0.06,"$13,757.00",6.22,Los Angeles,Spanish,397,7940,9,Tech Enthusiasts,2021-02-08
1500,DataTech Solutions,Email,Women 35-44,60 days,Website,0.05,"$9,487.00",7.45,Los Angeles,Mandarin,945,4138,5,Fashionistas,2021-02-09
1501,Innovate Industries,Social Media,Women 35-44,30 days,Email,0.05,"$19,721.00",7.45,Miami,German,893,9614,5,Fashionistas,2021-02-10
1502,Innovate Industries,Social Media,Men 18-24,45 days,Email,0.1,"$13,686.00",5.9,Los Angeles,French,479,4501,1,Tech Enthusiasts,2021-02-11
1503,NexGen Systems,Search,All Ages,45 days,YouTube,0.03,"$10,066.00",3.6,Los Angeles,English,111,1740,4,Foodies,2021-02-12
1504,DataTech Solutions,Social Media,All Ages,30 days,Google Ads,0.03,"$16,120.00",4.16,New York,Mandarin,495,5114,2,Health & Wellness,2021-02-13
1505,DataTech Solutions,Search,Women 35-44,45 days,Instagram,0.08,"$8,875.00",2.22,Chicago,French,185,2090,6,Tech Enthusiasts,2021-02-14
1506,TechCorp,Email,Men 25-34,60 days,Website,0.13,"$13,496.00",2.19,Chicago,German,575,2408,7,Tech Enthusiasts,2021-02-15
1507,Innovate Industries,Display,Men 18-24,15 days,Email,0.09,"$11,964.00",5.91,Chicago,English,892,7440,3,Outdoor Adventurers,2021-02-16
1508,DataTech Solutions,Social Media,Men 25-34,15 days,Email,0.06,"$15,466.00",4.71,Los Angeles,English,129,9035,10,Fashionistas,2021-02-17
1509,Innovate Industries,Email,Women 25-34,60 days,Email,0.11,"$11,278.00",2.18,Houston,Spanish,693,3660,10,Tech Enthusiasts,2021-02-18
1510,Innovate Industries,Influencer,Men 25-34,45 days,Facebook,0.14,"$12,501.00",7.97,Miami,Spanish,626,9190,6,Outdoor Adventurers,2021-02-19
1511,TechCorp,Email,Men 18-24,45 days,YouTube,0.02,"$13,955.00",2.82,Houston,English,512,8155,3,Outdoor Adventurers,2021-02-20
1512,Innovate Industries,Influencer,Men 18-24,60 days,Email,0.04,"$14,006.00",7.83,Miami,Mandarin,498,7946,4,Outdoor Adventurers,2021-02-21
1513,Alpha Innovations,Email,Women 25-34,45 days,Website,0.08,"$14,175.00",3.59,Houston,French,587,4266,3,Foodies,2021-02-22
1514,TechCorp,Influencer,Women 25-34,45 days,Google Ads,0.14,"$9,447.00",6.28,Miami,Mandarin,693,4892,2,Health & Wellness,2021-02-23
1515,Innovate Industries,Display,All Ages,60 days,Website,0.11,"$5,618.00",4.83,New York,French,738,6151,5,Foodies,2021-02-24
1516,Alpha Innovations,Email,Women 35-44,60 days,Facebook,0.06,"$13,456.00",6.62,Miami,Spanish,925,8790,7,Fashionistas,2021-02-25
1517,DataTech Solutions,Influencer,Women 35-44,45 days,Email,0.08,"$19,274.00",3.32,Chicago,English,408,5183,8,Health & Wellness,2021-02-26
1518,NexGen Systems,Email,All Ages,15 days,Website,0.1,"$19,932.00",4.38,Houston,German,730,8081,6,Foodies,2021-02-27
1519,Alpha Innovations,Social Media,All Ages,15 days,Instagram,0.01,"$13,451.00",3.48,Chicago,English,762,4209,4,Fashionistas,2021-02-28
1520,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.08,"$10,497.00",3.73,Houston,English,779,3072,6,Foodies,2021-03-01
1521,Innovate Industries,Display,Men 25-34,45 days,Instagram,0.13,"$5,324.00",2.5,Los Angeles,German,478,9071,10,Foodies,2021-03-02
1522,DataTech Solutions,Email,Women 25-34,30 days,Google Ads,0.04,"$14,727.00",4.4,Chicago,French,290,3498,7,Health & Wellness,2021-03-03
1523,DataTech Solutions,Influencer,Women 35-44,30 days,Facebook,0.14,"$6,265.00",7.42,Los Angeles,French,628,7000,2,Outdoor Adventurers,2021-03-04
1524,DataTech Solutions,Email,Men 18-24,15 days,YouTube,0.13,"$10,081.00",3.03,Los Angeles,Mandarin,792,1931,6,Health & Wellness,2021-03-05
1525,DataTech Solutions,Display,All Ages,15 days,Google Ads,0.04,"$14,234.00",3.45,Houston,Mandarin,453,5257,2,Outdoor Adventurers,2021-03-06
1526,Innovate Industries,Social Media,Men 25-34,60 days,Email,0.06,"$16,883.00",6.53,Los Angeles,German,344,3433,9,Tech Enthusiasts,2021-03-07
1527,DataTech Solutions,Social Media,Women 35-44,45 days,Instagram,0.15,"$15,315.00",5.7,Los Angeles,Spanish,808,8935,10,Foodies,2021-03-08
1528,TechCorp,Search,Women 25-34,30 days,Website,0.13,"$10,022.00",2.11,Chicago,English,472,5423,4,Outdoor Adventurers,2021-03-09
1529,Alpha Innovations,Email,Men 18-24,60 days,YouTube,0.04,"$8,404.00",7.81,Los Angeles,Spanish,662,4125,2,Health & Wellness,2021-03-10
1530,TechCorp,Social Media,Men 18-24,30 days,Google Ads,0.05,"$16,934.00",6.79,Chicago,German,446,4904,6,Fashionistas,2021-03-11
1531,DataTech Solutions,Influencer,Men 25-34,45 days,Email,0.08,"$6,110.00",4.0,Miami,English,883,7094,9,Health & Wellness,2021-03-12
1532,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.09,"$8,208.00",4.77,New York,French,329,4529,5,Tech Enthusiasts,2021-03-13
1533,Innovate Industries,Social Media,Men 18-24,45 days,YouTube,0.13,"$16,258.00",7.79,New York,Spanish,444,8893,1,Fashionistas,2021-03-14
1534,TechCorp,Display,Men 18-24,30 days,Email,0.11,"$12,112.00",5.49,Miami,English,290,7730,1,Health & Wellness,2021-03-15
1535,Alpha Innovations,Search,Women 25-34,60 days,Facebook,0.02,"$11,137.00",5.52,Miami,French,393,9223,3,Foodies,2021-03-16
1536,DataTech Solutions,Email,Men 25-34,60 days,Facebook,0.1,"$15,143.00",4.01,Chicago,German,229,5705,9,Fashionistas,2021-03-17
1537,Innovate Industries,Email,Men 18-24,45 days,Website,0.08,"$7,875.00",7.08,Chicago,English,195,8176,6,Tech Enthusiasts,2021-03-18
1538,DataTech Solutions,Social Media,Women 25-34,60 days,YouTube,0.07,"$6,228.00",6.92,New York,German,715,9976,10,Tech Enthusiasts,2021-03-19
1539,Innovate Industries,Influencer,Women 35-44,45 days,YouTube,0.07,"$7,419.00",4.73,Chicago,German,477,1014,1,Fashionistas,2021-03-20
1540,TechCorp,Search,Men 18-24,15 days,Instagram,0.13,"$18,673.00",4.5,Los Angeles,Mandarin,812,5178,3,Outdoor Adventurers,2021-03-21
1541,Alpha Innovations,Display,Women 35-44,45 days,Email,0.05,"$17,055.00",4.95,New York,Spanish,970,3580,8,Foodies,2021-03-22
1542,DataTech Solutions,Influencer,All Ages,60 days,Website,0.06,"$12,353.00",6.24,Miami,German,678,9463,5,Health & Wellness,2021-03-23
1543,NexGen Systems,Social Media,Women 25-34,30 days,Facebook,0.07,"$14,598.00",2.64,Houston,Spanish,636,1986,1,Fashionistas,2021-03-24
1544,Innovate Industries,Search,All Ages,60 days,Facebook,0.14,"$11,247.00",6.64,Los Angeles,French,852,4096,3,Tech Enthusiasts,2021-03-25
1545,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.09,"$5,675.00",3.29,Miami,English,392,1469,5,Tech Enthusiasts,2021-03-26
1546,TechCorp,Social Media,Men 25-34,60 days,YouTube,0.03,"$18,756.00",6.49,Chicago,English,248,7831,5,Fashionistas,2021-03-27
1547,Innovate Industries,Email,Men 18-24,30 days,Email,0.15,"$6,473.00",2.91,Chicago,English,979,1791,9,Foodies,2021-03-28
1548,NexGen Systems,Social Media,Men 25-34,45 days,Facebook,0.09,"$12,684.00",5.08,Chicago,Mandarin,687,2351,5,Health & Wellness,2021-03-29
1549,Innovate Industries,Influencer,Men 18-24,45 days,YouTube,0.06,"$8,956.00",5.59,Los Angeles,French,896,9621,1,Tech Enthusiasts,2021-03-30
1550,DataTech Solutions,Influencer,Women 25-34,60 days,YouTube,0.05,"$12,578.00",2.38,Houston,French,418,8640,3,Health & Wellness,2021-03-31
1551,TechCorp,Display,Women 25-34,60 days,Facebook,0.01,"$6,311.00",6.34,Miami,English,169,5535,9,Outdoor Adventurers,2021-04-01
1552,TechCorp,Social Media,Women 35-44,15 days,Facebook,0.09,"$18,411.00",2.43,Chicago,English,972,3079,10,Health & Wellness,2021-04-02
1553,Innovate Industries,Social Media,Men 25-34,60 days,YouTube,0.13,"$19,972.00",5.35,Los Angeles,English,542,4886,1,Foodies,2021-04-03
